,tax_id,tax_level,genus_tax_id,name,category,SRR11440668,SRR11440704,SRR11440674,SRR11440652,SRR11440647,SRR11440604,SRR11440710,SRR11440624,SRR11440628,SRR11440741,SRR11440736,SRR11440729,SRR11440607,SRR11440679,SRR11440682,SRR11440644,SRR11440620,SRR11440738,SRR11440708,SRR11440660,SRR11440622,SRR11440602,SRR11440698,SRR11440707,SRR11440613,SRR11440695,SRR11440637,SRR11440740,SRR11440638,SRR11440605,SRR11440725,SRR11440606,SRR11440687,SRR11440673,SRR11440667,SRR11440719,SRR11440609,SRR11440692,SRR11440612,SRR11440727,SRR11440724,SRR11440617,SRR11440712,SRR11440619,SRR11440705,SRR11440669,SRR11440636,SRR11440739,SRR11440662,SRR11440623,SRR11440621,SRR11440610,SRR11440700,SRR11440632,SRR11440684,SRR11440678,SRR11440691,SRR11440603,SRR11440666,SRR11440672,SRR11440659,SRR11440686,SRR11440650,SRR11440627,SRR11440633,SRR11440683,SRR11440694,SRR11440616,SRR11440648,SRR11440601,SRR11440676,SRR11440665,SRR11440733,SRR11440670,SRR11440744,SRR11440693,SRR11440709,SRR11440641,SRR11440717,SRR11440699,SRR11440626,SRR11440654,SRR11440728,SRR11440732,SRR11440742,SRR11440629,SRR11440664,SRR11440723,SRR11440671,SRR11440661,SRR11440653,SRR11440608,SRR11440714,SRR11440713,SRR11440697,SRR11440651,SRR11440743,SRR11440734,SRR11440706,SRR11440722,SRR11440696,SRR11440715,SRR11440618,SRR11440675,SRR11440681,SRR11440625,SRR11440718,SRR11440663,SRR11440615,SRR11440657,SRR11440614,SRR11440631,SRR11440726,SRR11440711,SRR11440685,SRR11440634,SRR11440630,SRR11440688,SRR11440656,SRR11440639,SRR11440649,SRR11440716,SRR11440646,SRR11440642,SRR11440731,SRR11440737,SRR11440658,SRR11440645,SRR11440690,SRR11440721,SRR11440730,SRR11440735,SRR11440720,SRR11440689,SRR11440655,SRR11440680,SRR11440701,SRR11440643,SRR11440677,SRR11440703,SRR11440640,SRR11440635,SRR11440611,SRR11440702
1,1980610,1,1980421,Phasi Charoen-like phasivirus,viruses,1525.0,2359.0,3256.0,1397.0,557.0,8229.0,779.0,1165.0,2071.0,2293.0,3136.0,1541.0,2348.0,269.0,2328.0,1630.0,1276.0,2262.0,190.0,1634.0,1373.0,8477.0,1759.0,242.0,2231.0,2733.0,2555.0,2302.0,2700.0,8353.0,661.0,1464.0,661.0,3481.0,1813.0,2638.0,2382.0,2688.0,2048.0,1050.0,892.0,2142.0,788.0,455.0,223.0,1192.0,263.0,2121.0,1643.0,1449.0,1272.0,2409.0,2821.0,1734.0,2015.0,300.0,2760.0,7805.0,2029.0,699.0,1433.0,2012.0,1296.0,966.0,394.0,1989.0,2817.0,420.0,495.0,1425.0,3423.0,1606.0,1528.0,1300.0,634.0,2410.0,727.0,2943.0,1058.0,1182.0,1075.0,2582.0,1689.0,1561.0,1453.0,1738.0,1842.0,1009.0,1498.0,1705.0,2914.0,2269.0,2261.0,552.0,1159.0,1541.0,638.0,2980.0,147.0,2516.0,1298.0,1095.0,467.0,3675.0,286.0,948.0,1114.0,1602.0,478.0,1614.0,2096.0,1742.0,900.0,765.0,2214.0,463.0,1547.0,665.0,2748.0,2092.0,1678.0,910.0,581.0,1727.0,1727.0,3071.0,1304.0,1383.0,662.0,2589.0,1524.0,2582.0,2749.0,774.0,2882.0,424.0,2373.0,1337.0,2528.0,2738.0,2675.0,305.0,2201.0,2816.0
3,2230910,1,1884455,Aedes anphevirus,viruses,293.0,,,1818.0,576.0,,388.0,,,352.0,562.0,549.0,,,,1188.0,559.0,402.0,,,611.0,,1428.0,,85.0,805.0,971.0,,923.0,,,,640.0,168.0,783.0,682.0,,933.0,,992.0,865.0,,398.0,,,427.0,244.0,389.0,,,788.0,,625.0,1324.0,482.0,,953.0,311.0,794.0,,,486.0,1813.0,,,673.0,892.0,581.0,617.0,,,936.0,404.0,435.0,,,553.0,1033.0,706.0,1412.0,,,1297.0,476.0,,2249.0,,1396.0,276.0,,,,,861.0,1004.0,2491.0,97.0,,287.0,452.0,1348.0,859.0,,,,,,,229.0,173.0,,1636.0,930.0,482.0,647.0,,1737.0,,,123.0,1904.0,451.0,862.0,940.0,,551.0,95.0,1231.0,857.0,679.0,,342.0,446.0,597.0,294.0,,528.0,1221.0,486.0,1062.0,1477.0,246.0,,1052.0
4,2059675,1,1884455,Aedes aegypti anphevirus,viruses,21.0,15.0,,682.0,318.0,58.0,140.0,,,,84.0,,,,,49.0,129.0,,166.0,,341.0,,,,,288.0,861.0,231.0,613.0,,,,753.0,,475.0,,,276.0,,288.0,481.0,,75.0,,,12.0,8.0,,,164.0,72.0,39.0,429.0,712.0,,,239.0,67.0,381.0,38.0,,192.0,562.0,,114.0,30.0,700.0,,431.0,,247.0,115.0,78.0,,,194.0,34.0,407.0,29.0,245.0,,4.0,11.0,105.0,,11.0,149.0,,,7.0,37.0,,,266.0,932.0,489.0,5.0,150.0,,270.0,440.0,155.0,,,,,148.0,,,,,325.0,252.0,163.0,37.0,,164.0,,,,9.0,119.0,451.0,419.0,,,6.0,,,143.0,178.0,119.0,173.0,419.0,,,411.0,158.0,,33.0,,,,232.0
6,238,1,308865,Elizabethkingia meningoseptica,bacteria,470.0,129.0,35.0,159.0,457.0,6.0,411.0,104.0,115.0,135.0,30.0,162.0,167.0,100.0,97.0,334.0,127.0,166.0,329.0,476.0,120.0,6.0,54.0,142.0,34.0,52.0,199.0,151.0,107.0,11.0,70.0,24.0,58.0,21.0,67.0,12.0,125.0,53.0,30.0,169.0,147.0,127.0,470.0,38.0,299.0,441.0,137.0,120.0,95.0,124.0,128.0,137.0,198.0,94.0,34.0,130.0,77.0,2.0,85.0,64.0,187.0,22.0,113.0,94.0,130.0,29.0,40.0,48.0,689.0,95.0,38.0,85.0,127.0,537.0,69.0,113.0,456.0,129.0,494.0,63.0,109.0,316.0,53.0,259.0,24.0,115.0,86.0,175.0,455.0,371.0,360.0,140.0,142.0,418.0,66.0,155.0,88.0,40.0,321.0,16.0,64.0,456.0,40.0,50.0,118.0,113.0,429.0,54.0,32.0,443.0,26.0,91.0,203.0,410.0,32.0,96.0,97.0,70.0,347.0,155.0,125.0,409.0,403.0,179.0,26.0,40.0,415.0,193.0,66.0,22.0,157.0,23.0,13.0,81.0,309.0,102.0,187.0,97.0,114.0,163.0,139.0,115.0,61.0,207.0
7,1117645,1,308865,Elizabethkingia anophelis,bacteria,23.0,9.0,11.0,23.0,33.0,3.0,33.0,18.0,22.0,11.0,5.0,38.0,16.0,8.0,13.0,19.0,27.0,20.0,45.0,20.0,12.0,8.0,24.0,38.0,6.0,31.0,24.0,13.0,20.0,,12.0,2.0,6.0,15.0,12.0,4.0,21.0,23.0,20.0,18.0,30.0,16.0,37.0,3.0,53.0,17.0,27.0,22.0,20.0,20.0,16.0,12.0,38.0,20.0,10.0,18.0,12.0,,15.0,4.0,2.0,6.0,13.0,20.0,49.0,6.0,25.0,4.0,51.0,15.0,16.0,19.0,39.0,20.0,13.0,20.0,29.0,21.0,40.0,28.0,37.0,26.0,19.0,17.0,,11.0,28.0,23.0,16.0,15.0,19.0,24.0,14.0,30.0,22.0,29.0,28.0,15.0,34.0,7.0,29.0,31.0,6.0,10.0,32.0,16.0,64.0,14.0,4.0,23.0,16.0,15.0,28.0,37.0,12.0,32.0,19.0,9.0,27.0,13.0,30.0,39.0,64.0,24.0,12.0,2.0,24.0,25.0,11.0,5.0,26.0,10.0,4.0,6.0,20.0,18.0,32.0,29.0,24.0,41.0,18.0,15.0,14.0,39.0
8,172045,1,308865,Elizabethkingia miricola,bacteria,1.0,,,,2.0,,2.0,,2.0,,,2.0,,,,2.0,,,2.0,,,,,204.0,,,,2.0,,,,,,,,,,2.0,,,,,3.0,2.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,1.0,5.0,,2.0,,15.0,,,,2.0,,,1.0,4.0,,,,,2.0,,,4.0,,,,,3.0,,,1.0,,,2.0,,,,1.0,,,,2.0,1.0,,,,,1.0,,,1.0,,,,2.0,,,1.0,1.0,,,67.0,,1.0,,1.0,,
10,2603435,1,-200011006,Aedes aegypti totivirus,viruses,,,,,64.0,,,,,,,,,,,181.0,22.0,,31.0,20.0,,,,65.0,,,,,,,,,,,,,,,,67.0,116.0,,,,,102.0,45.0,,250.0,,73.0,,,,,,,,11.0,,,,,,38.0,33.0,,,,244.0,,,57.0,,89.0,,25.0,,,,,,,,,,,279.0,,,200.0,,,73.0,,6.0,,54.0,32.0,,,,,,,25.0,,,,,90.0,,91.0,,,3.0,,,199.0,,,,87.0,,,,133.0,,,9.0,,,,,,,,,,,,,,
15,2607735,1,-200,Guadeloupe mosquito virus,viruses,518.0,256.0,158.0,174.0,488.0,172.0,304.0,168.0,529.0,2140.0,1016.0,82.0,1120.0,397.0,144.0,310.0,,2400.0,740.0,385.0,236.0,158.0,65.0,609.0,279.0,103.0,367.0,2256.0,401.0,273.0,128.0,294.0,306.0,339.0,543.0,500.0,1195.0,100.0,296.0,1413.0,1297.0,524.0,378.0,242.0,579.0,933.0,43.0,2152.0,361.0,119.0,,1246.0,128.0,352.0,171.0,372.0,66.0,148.0,757.0,148.0,342.0,197.0,272.0,103.0,91.0,151.0,111.0,193.0,816.0,296.0,420.0,700.0,98.0,916.0,147.0,207.0,415.0,556.0,283.0,75.0,159.0,438.0,741.0,114.0,192.0,646.0,220.0,1554.0,952.0,314.0,197.0,1141.0,605.0,666.0,201.0,310.0,149.0,892.0,574.0,631.0,,383.0,325.0,352.0,526.0,33.0,277.0,255.0,256.0,374.0,189.0,440.0,1616.0,362.0,212.0,,393.0,304.0,462.0,460.0,311.0,349.0,905.0,228.0,278.0,923.0,353.0,224.0,305.0,292.0,99.0,712.0,413.0,297.0,240.0,389.0,107.0,265.0,256.0,117.0,242.0,213.0,297.0,199.0
16,2507131,1,-200,Renna virus,viruses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1670677,1,-200,Humaita-Tubiacanga virus,viruses,132.0,24.0,24.0,92.0,90.0,12.0,76.0,42.0,164.0,252.0,22.0,26.0,148.0,62.0,22.0,30.0,62.0,262.0,78.0,36.0,42.0,10.0,6.0,84.0,48.0,6.0,70.0,224.0,56.0,26.0,4.0,34.0,18.0,22.0,10.0,22.0,156.0,2.0,40.0,118.0,76.0,148.0,92.0,36.0,84.0,132.0,18.0,162.0,64.0,56.0,20.0,168.0,12.0,44.0,14.0,46.0,2.0,12.0,10.0,8.0,42.0,28.0,70.0,24.0,24.0,26.0,2.0,20.0,154.0,66.0,20.0,18.0,32.0,114.0,10.0,26.0,98.0,64.0,58.0,14.0,38.0,24.0,8.0,46.0,54.0,80.0,64.0,104.0,114.0,56.0,48.0,156.0,138.0,122.0,18.0,96.0,,38.0,98.0,22.0,6.0,44.0,36.0,14.0,78.0,28.0,82.0,64.0,32.0,38.0,46.0,70.0,118.0,62.0,24.0,22.0,44.0,18.0,44.0,116.0,96.0,36.0,172.0,38.0,52.0,12.0,52.0,46.0,16.0,44.0,14.0,30.0,38.0,18.0,42.0,50.0,20.0,18.0,24.0,22.0,62.0,36.0,54.0,18.0
