tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
1980421,2,1980421,Phasivirus,"",viruses,false,2116661.751107283,99,99,213.72035950527393,1052,14,1005,98.5872,1344.98,10^-279.403,0.0152791,0.253836,,,9.074591320938785,103.40652375302703,509,6,509,93.1402,468.57,10^0.0661538,0.68215,11.32,,,[1980610]
1980610,1,1980421,Phasi Charoen-like phasivirus,"",viruses,false,2116661.751107283,99,99,213.72035950527393,1052,14,1005,98.5872,1344.98,10^-279.403,0.0152791,0.253836,,,23.432614072324967,103.40652375302703,509,6,509,93.1402,468.57,10^0.0661538,0.265061,4.40162,,,
1884455,2,1884455,Anphevirus,"",viruses,false,796206.5934998514,100,100,72.32361975653757,356,12,202,99.5976,255.641,10^-132.53,,,,,42.01266478042682,45.71015293601391,225,15,223,72.5292,67.4208,10^0.339276,0.183969,1.08363,,,"[2230910, 2059675]"
2230910,1,1884455,Aedes anphevirus,"",viruses,false,796206.5934998514,100,100,67.24471387475825,331,12,202,99.5993,269.34,10^-139.641,,,,,100,29.457654114320075,145,10,144,60.2434,36.2028,10^0.53035,,,,,
2059675,1,1884455,Aedes aegypti anphevirus,"",viruses,false,119070.13730180373,100,100,5.078905881779324,25,,,99.576,75.36,10^-38.9508,,,,,100,16.252498821693834,80,5,79,95.0531,124.654,10^-0.0110256,,,,,
308865,2,308865,Elizabethkingia,"",bacteria,false,76311.3240916415,14.706253122240334,14.706253122240334,55.86796469957256,275,4,108,99.6939,148.439,10^-76.3467,0.466715,3.76719,,,0.2558376685401552,0.20315623527117294,1,,,100.0,25.0,10^-6.1,0.0666213,0.533678,,,"[238, 1117645]"
238,1,308865,Elizabethkingia meningoseptica,"",bacteria,false,76311.3240916415,99,99,52.41430869996262,258,4,108,99.6891,153.817,10^-79.161,0.0224088,0.215888,,,6.408573512713868,0.20315623527117294,1,,,100.0,25.0,10^-6.1,0.00245253,0.031318,,,
1117645,1,308865,Elizabethkingia anophelis,"",bacteria,false,1793.574838464058,35.313306865351066,35.313306865351066,3.45365599960994,17,,,99.7647,68.7059,10^-34.6293,0.0109264,0.097491,,,-100,0.0,0,,,0,0,10^0,0.0282271,0.414281,,,
7158,2,7158,Aedes,"",eukaryota,false,53896.9272666051,7.265576916633825,7.265576916633825,295.7954785548278,1456,17,909,93.5698,233.475,10^-100.934,10.6521,39.2458,,,-0.19237994335145295,61.75949552243657,304,8,301,44.5765,41.9367,10^0.181506,133.356,372.162,,,"[7159, 7160]"
7159,1,7158,Aedes aegypti,yellow fever mosquito,eukaryota,false,53896.9272666051,25.268933964800624,25.268933964800624,293.5607599668449,1445,17,909,93.6055,234.79,10^-101.546,3.56942,11.4762,,,0.09408159479596832,61.5563392871654,303,8,301,44.3911,41.9933,10^0.205525,48.1197,142.819,,,
7160,1,7158,Aedes albopictus,Asian tiger mosquito,eukaryota,false,-2.8688917468112756,-0.1757986312546269,-0.1757986312546269,2.2347185879829023,11,,,89.0818,68.1818,10^-24.0358,6.04264,21.6607,,,-0.3718681506187774,0.20315623527117294,1,,,100.0,25.0,10^-7.0,61.7901,165.615,,,
-200011006,2,-200011006,non-genus-specific reads in family Totiviridae,,viruses,false,40224.93458369224,99,99,4.0631247054234585,20,,,94.37,74.0,10^-32.7696,6.77041e-05,0.00112478,,,-100,0.0,0,,,0,0,10^0,0.149228,1.22496,,,[2603435]
2603435,1,-200011006,Aedes aegypti totivirus,"",viruses,false,40224.93458369224,100,100,4.0631247054234585,20,,,94.37,74.0,10^-32.7696,,,,,,,,,,,,,,,,,
178049,2,178049,Nomia,"",eukaryota,false,2031.5623527117293,100,100,0.20315623527117294,1,,,90.2,61.0,10^-21.3979,,,,,,,,,,,,,,,,,[2448451]
2448451,1,178049,Nomia melanderi,Alkali bee,eukaryota,false,2031.5623527117293,100,100,0.20315623527117294,1,,,90.2,61.0,10^-21.3979,,,,,,,,,,,,,,,,,
8174,2,8174,Sparus,"",eukaryota,false,2031.5623527117293,100,100,0.20315623527117294,1,,,91.7,36.0,10^-8.58503,,,,,-100,0.0,0,,,0,0,10^0,0.0160933,0.134526,,,[8175]
