tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
1980421,2,1980421,Phasivirus,"",viruses,false,5102542.129322446,99,99,481.2832435527402,2014,6,1994,98.5204,3240.23,10^-304.948,0.0152791,0.253836,,,23.62552017354554,268.1230383645355,1122,3,1122,96.8398,1208.64,10^0.0157297,0.68215,11.32,,,[1980610]
1980610,1,1980421,Phasi Charoen-like phasivirus,"",viruses,false,5102542.129322446,99,99,481.2832435527402,2014,6,1994,98.5204,3240.23,10^-304.948,0.0152791,0.253836,,,60.854407550977925,268.1230383645355,1122,3,1122,96.8398,1208.64,10^0.0157297,0.265061,4.40162,,,
1884455,2,1884455,Anphevirus,"",viruses,false,1143621.981308167,100,100,90.80815916089438,380,15,229,99.6082,272.116,10^-150.923,,,,,58.49020644742769,63.565711412626065,266,15,262,77.3239,62.4483,10^0.142262,0.183969,1.08363,,,"[2230910, 2059675]"
2230910,1,1884455,Aedes anphevirus,"",viruses,false,1143621.981308167,100,100,86.26775120284965,361,15,229,99.617,282.526,10^-156.854,,,,,100,48.03273681931518,201,10,199,71.9932,58.0102,10^0.227706,,,,,
2059675,1,1884455,Aedes aegypti anphevirus,"",viruses,false,136256.76865098745,100,100,4.540407958044718,19,,,99.4421,75.4211,10^-38.8535,,,,,100,15.53297459331088,65,5,63,93.3979,75.8308,10^-0.115385,,,,,
-200011006,2,-200011006,non-genus-specific reads in family Totiviridae,,viruses,false,42584.247269661515,99,99,4.301439118147628,18,,,95.7167,72.0556,10^-32.9486,6.77041e-05,0.00112478,,,-100,0.0,0,,,0,0,10^0,0.149228,1.22496,,,[2603435]
2603435,1,-200011006,Aedes aegypti totivirus,"",viruses,false,42584.247269661515,100,100,4.301439118147628,18,,,95.7167,72.0556,10^-32.9486,,,,,,,,,,,,,,,,,
7158,2,7158,Aedes,"",eukaryota,false,29286.716661010072,5.915033999445645,5.915033999445645,242.7923413354439,1016,12,599,94.2855,190.348,10^-91.022,10.6521,39.2458,,,-100,0.0,0,,,0,0,10^0,133.356,372.162,,,"[7159, 7160]"
7159,1,7158,Aedes aegypti,yellow fever mosquito,eukaryota,false,29286.716661010072,20.61608059258081,20.61608059258081,240.1636840965759,1005,12,599,94.3516,191.703,10^-91.7734,3.56942,11.4762,,,-100,0.0,0,,,0,0,10^0,48.1197,142.819,,,
7160,1,7158,Aedes albopictus,Asian tiger mosquito,eukaryota,false,-2.450642957783335,-0.15761183900483386,-0.15761183900483386,2.628657238867995,11,,,88.4636,71.0,10^-24.8257,6.04264,21.6607,,,-100,0.0,0,,,0,0,10^0,61.7901,165.615,,,
