tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
1884455,2,1884455,Anphevirus,"",viruses,false,2034834.5221147789,100,100,144.31805891863,830,17,698,99.4516,851.176,10^-244.447,,,,,87.92170990245732,95.45857150159985,549,18,541,84.894,136.764,10^0.0270627,0.183969,1.08363,,,"[2230910, 2059675]"
2230910,1,1884455,Aedes anphevirus,"",viruses,false,2034834.5221147789,100,100,139.27562071544895,801,17,698,99.4508,875.627,10^-250.923,,,,,100,73.02841535641518,420,15,415,82.6525,95.43,10^0.0495362,,,,,
2059675,1,1884455,Aedes aegypti anphevirus,"",viruses,false,247634.15019818512,100,100,5.042438203181049,29,,,99.476,75.6,10^-39.0033,,,,,100,22.430156145184664,129,3,126,92.1439,270.453,10^-0.045625,,,,,
1980421,2,1980421,Phasivirus,"",viruses,false,1534230.7169353613,99,99,155.62007558093234,895,12,841,98.4998,2496.15,10^-267.73,0.0152791,0.253836,,,6.7289366876021175,76.85371330365598,442,1,442,98.707,1237.0,10^0.0,0.68215,11.32,,,[1980610]
1980610,1,1980421,Phasi Charoen-like phasivirus,"",viruses,false,1534230.7169353613,99,99,155.62007558093234,895,12,841,98.4998,2496.15,10^-267.73,0.0152791,0.253836,,,17.40010548472062,76.85371330365598,442,1,442,98.707,1237.0,10^0.0,0.265061,4.40162,,,
-200011006,2,-200011006,non-genus-specific reads in family Totiviridae,,viruses,false,36149.065601425515,99,99,3.651420767820759,21,,,95.7095,75.4762,10^-35.0231,6.77041e-05,0.00112478,,,-100,0.0,0,,,0,0,10^0,0.149228,1.22496,,,[2603435]
2603435,1,-200011006,Aedes aegypti totivirus,"",viruses,false,36149.065601425515,100,100,3.651420767820759,21,,,95.7095,75.4762,10^-35.0231,,,,,,,,,,,,,,,,,
7158,2,7158,Aedes,"",eukaryota,false,23228.664603666733,5.443880910870631,5.443880910870631,224.30156145184662,1290,11,816,93.7157,211.536,10^-108.626,10.6521,39.2458,,,-0.27750078718497256,30.080752039666255,173,4,171,36.6197,115.554,10^-0.00863095,133.356,372.162,,,"[7159, 7160]"
7159,1,7158,Aedes aegypti,yellow fever mosquito,eukaryota,false,23228.664603666733,19.127847301014828,19.127847301014828,223.08442119590637,1283,11,816,93.7419,212.382,10^-109.125,3.56942,11.4762,,,-0.12630635952032818,30.080752039666255,173,4,171,36.6197,115.554,10^-0.00863095,48.1197,142.819,,,
7160,1,7158,Aedes albopictus,Asian tiger mosquito,eukaryota,false,-1.4761111209413253,-0.22277672208468546,-0.22277672208468546,1.217140255940253,7,,,89.1,62.5714,10^-20.7098,6.04264,21.6607,,,-100,0.0,0,,,0,0,10^0,61.7901,165.615,,,
