tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
1980421,2,1980421,Phasivirus,"",viruses,false,3494838.3111784062,99,99,327.59890973484795,1968,11,1947,98.2577,2910.37,10^-302.744,0.0152791,0.253836,,,21.335804967115354,242.20346222774583,1455,6,1455,88.021,1050.22,10^0.119144,0.68215,11.32,,,[1980610]
1980610,1,1980421,Phasi Charoen-like phasivirus,"",viruses,false,3494838.3111784062,99,99,327.59890973484795,1968,11,1947,98.2577,2910.37,10^-302.744,0.0152791,0.253836,,,54.965762884516565,242.20346222774583,1455,6,1455,88.021,1050.22,10^0.119144,0.265061,4.40162,,,
1884455,2,1884455,Anphevirus,"",viruses,false,219730.97604166632,100,100,23.970651931818143,144,5,43,99.6951,131.725,10^-67.8063,,,,,35.92997909788591,39.11877224984211,235,7,234,35.7194,27.8496,10^0.63146,0.183969,1.08363,,,"[2230910, 2059675]"
2230910,1,1884455,Aedes anphevirus,"",viruses,false,219730.97604166632,100,100,21.973097604166632,132,5,43,99.7385,136.923,10^-70.4998,,,,,,,,,,,,,,,,,
2059675,1,1884455,Aedes aegypti anphevirus,"",viruses,false,160529.21020369377,100,100,1.997554327651512,12,,,99.225,75.4167,10^-38.6268,,,,,100,39.11877224984211,235,7,234,35.7194,27.8496,10^0.63146,,,,,
7158,2,7158,Aedes,"",eukaryota,false,87210.18030628149,8.534029085499888,8.534029085499888,345.5768986837116,2076,16,1594,93.2493,306.056,10^-138.095,10.6521,39.2458,,,-0.19193742467743385,61.92418415719687,372,4,369,50.8218,34.7348,10^0.100402,133.356,372.162,,,"[7159, 7160]"
7159,1,7158,Aedes aegypti,yellow fever mosquito,eukaryota,false,87210.18030628149,29.685416409491868,29.685416409491868,344.24519579861055,2068,16,1594,93.2605,307.025,10^-138.557,3.56942,11.4762,,,0.03954518646645892,53.7675039859532,323,3,322,43.4841,38.9048,10^0.0141127,48.1197,142.819,,,
7160,1,7158,Aedes albopictus,Asian tiger mosquito,eukaryota,false,-2.9787040858356564,-0.217487759624527,-0.217487759624527,1.331702885101008,8,,,90.5,66.625,10^-23.8512,6.04264,21.6607,,,-0.32384397445132584,8.156680171243673,49,1,47,100.0,6.78723,10^0.678723,61.7901,165.615,,,
-200,2,-200,all taxa with neither family nor genus classification,,,false,3730.01888412066,-0.4780814103719295,-0.4780814103719295,43.61326948705801,262,7,178,99.2303,404.84,10^-179.551,463.276,877.806,,,-0.5873816351524773,35.45658931581434,213,7,213,83.7296,150.583,10^0.0947867,621.657,997.989,,,"[2607735, 1670677, 2507131, 155900, 77133]"
2607735,1,-200,Guadeloupe mosquito virus,"",viruses,false,3730.01888412066,100,100,34.457812151988584,207,7,178,99.2919,492.744,10^-217.315,,,,,100,35.45658931581434,213,7,213,83.7296,150.583,10^0.0947867,,,,,
1670677,1,-200,Humaita-Tubiacanga virus,"",viruses,false,159.1655983763644,100,100,3.32925721275252,20,,,98.295,75.35,10^-37.5991,,,,,-100,0.0,0,,,0,0,10^0,0.39786,1.6869,,,
2507131,1,-200,Renna virus,"",viruses,false,71.62451926936397,100,100,1.498165745738634,9,,,99.1333,75.2222,10^-38.3819,,,,,,,,,,,,,,,,,
