tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
1980421,2,1980421,Phasivirus,"",viruses,false,12959945.134663446,99,99,909.8313532040283,4466,3,4446,98.2159,4558.7,10^-306.41,0.0152791,0.253836,,,60.031118637405086,680.2344129754256,3339,8,3339,94.4372,1152.26,10^0.0308715,0.68215,11.32,,,[1980610]
1980610,1,1980421,Phasi Charoen-like phasivirus,"",viruses,false,12959945.134663446,99,99,909.8313532040283,4466,3,4446,98.2159,4558.7,10^-306.41,0.0152791,0.253836,,,99,680.2344129754256,3339,8,3339,94.4372,1152.26,10^0.0308715,0.265061,4.40162,,,
1884455,2,1884455,Anphevirus,"",viruses,false,455560.14445270627,100,100,37.07776674499175,182,4,73,99.6021,260.275,10^-131.702,,,,,36.67850986817701,39.929902648452654,196,11,194,56.1558,42.2634,10^0.415591,0.183969,1.08363,,,"[2230910, 2059675]"
2230910,1,1884455,Aedes anphevirus,"",viruses,false,455560.14445270627,100,100,35.2442508070526,173,4,73,99.6039,269.896,10^-136.529,,,,,100,28.11391104840034,138,7,137,48.8676,21.7656,10^0.503047,,,,,
2059675,1,1884455,Aedes aegypti anphevirus,"",viruses,false,61674.455829873084,100,100,1.8335159379391526,9,,,99.5667,75.3333,10^-38.9134,,,,,100,11.815991600052316,58,4,57,72.2402,87.5,10^0.222586,,,,,
7158,2,7158,Aedes,"",eukaryota,false,86912.69816067269,8.542856567866798,8.542856567866798,345.9233402911868,1698,17,1099,93.0036,259.667,10^-116.136,10.6521,39.2458,,,-0.11418441182995515,90.86090092454023,446,2,444,27.2138,69.2802,10^-0.00410505,133.356,372.162,,,"[7159, 7160]"
7159,1,7158,Aedes aegypti,yellow fever mosquito,eukaryota,false,86912.69816067269,29.618622224598262,29.618622224598262,343.47865237393455,1686,17,1099,93.019,261.068,10^-116.794,3.56942,11.4762,,,0.29926831111084823,90.86090092454023,446,2,444,27.2138,69.2802,10^-0.00410505,48.1197,142.819,,,
7160,1,7158,Aedes albopictus,Asian tiger mosquito,eukaryota,false,-3.4690409663140085,-0.16610506967677852,-0.16610506967677852,2.4446879172522036,12,,,90.925,70.6667,10^-27.3931,6.04264,21.6607,,,-100,0.0,0,,,0,0,10^0,61.7901,165.615,,,
-200011006,2,-200011006,non-genus-specific reads in family Totiviridae,,viruses,false,24202.410380796817,99,99,2.4446879172522036,12,,,96.7917,74.9167,10^-35.7721,6.77041e-05,0.00112478,,,-100,0.0,0,,,0,0,10^0,0.149228,1.22496,,,[2603435]
2603435,1,-200011006,Aedes aegypti totivirus,"",viruses,false,24202.410380796817,100,100,2.4446879172522036,12,,,96.7917,74.9167,10^-35.7721,,,,,,,,,,,,,,,,,
