tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
1980421,2,1980421,Phasivirus,"",viruses,false,1325737.091687647,99,99,134.5663632697736,598,16,496,98.5008,649.108,10^-209.6,0.0152791,0.253836,,,6.141907010436639,70.20853735814275,312,9,312,92.8399,228.248,10^0.0546405,0.68215,11.32,,,[1980610]
1980610,1,1980421,Phasi Charoen-like phasivirus,"",viruses,false,1325737.091687647,99,99,134.5663632697736,598,16,496,98.5008,649.108,10^-209.6,0.0152791,0.253836,,,15.890394072669322,70.20853735814275,312,9,312,92.8399,228.248,10^0.0546405,0.265061,4.40162,,,
1884455,2,1884455,Anphevirus,"",viruses,false,913072.0607303492,100,100,91.81116423757129,408,10,225,99.5522,323.752,10^-140.034,,,,,33.47126220115321,36.454432859035656,162,9,156,60.4356,45.9691,10^0.201481,0.183969,1.08363,,,"[2230910, 2059675]"
2230910,1,1884455,Aedes anphevirus,"",viruses,false,913072.0607303492,100,100,86.18548015438677,383,10,225,99.5501,340.081,10^-146.706,,,,,100,15.301860706261882,68,2,66,48.3456,25.6765,10^0.505,,,,,
2059675,1,1884455,Aedes aegypti anphevirus,"",viruses,false,127057.16970727543,100,100,5.625684083184515,25,,,99.584,73.6,10^-37.8093,,,,,100,21.15257215277378,94,7,90,69.1816,60.6489,10^-0.0180851,,,,,
308865,2,308865,Elizabethkingia,"",bacteria,false,243246.85059041542,26.69644247675161,26.69644247675161,101.03728613399389,449,7,179,99.3565,162.016,10^-83.1812,0.466715,3.76719,,,-100,0.0,0,,,0,0,10^0,0.0666213,0.533678,,,"[238, 1117645, 2583851]"
238,1,308865,Elizabethkingia meningoseptica,"",bacteria,false,243246.85059041542,99,99,92.03619160089868,409,7,179,99.5353,171.415,10^-88.3307,0.0224088,0.215888,,,-100,0.0,0,,,0,0,10^0,0.00245253,0.031318,,,
1117645,1,308865,Elizabethkingia anophelis,"",bacteria,false,21064.33245877361,89.90717881412483,89.90717881412483,8.776067169767844,39,,,98.2615,66.1538,10^-31.3797,0.0109264,0.097491,,,-100,0.0,0,,,0,0,10^0,0.0282271,0.414281,,,
2583851,1,308865,Elizabethkingia sp. JS20170427COW,"",bacteria,false,600.7430060764501,100,100,0.2250273633273806,1,,,69.3,75.0,10^-7.58503,,,,,,,,,,,,,,,,,
5782,2,5782,Dictyostelium,"",eukaryota,false,8821.97275188663,99,99,0.9001094533095224,4,,,99.675,76.0,10^-39.4819,0.000941104,0.00589822,,,-100,0.0,0,,,0,0,10^0,0.0233286,0.23556,,,[44689]
